step,hit,hits,misses,evictions,hit_rate,policy,workload
542,False,352,191,159,0.64825,FIFO,locality
543,True,353,191,159,0.648897,FIFO,locality
544,True,354,191,159,0.649541,FIFO,locality
545,False,354,192,160,0.648352,FIFO,locality
546,True,355,192,160,0.648995,FIFO,locality
547,False,355,193,161,0.64781,FIFO,locality
548,True,356,193,161,0.648452,FIFO,locality
549,True,357,193,161,0.649091,FIFO,locality
550,False,357,194,162,0.647913,FIFO,locality
551,False,357,195,163,0.646739,FIFO,locality
552,False,357,196,164,0.64557,FIFO,locality
553,True,358,196,164,0.646209,FIFO,locality
554,True,359,196,164,0.646847,FIFO,locality
555,False,359,197,165,0.645683,FIFO,locality
556,True,360,197,165,0.64632,FIFO,locality
557,True,361,197,165,0.646953,FIFO,locality
558,True,362,197,165,0.647585,FIFO,locality
559,True,363,197,165,0.648214,FIFO,locality
560,False,363,198,166,0.647059,FIFO,locality
561,False,363,199,167,0.645907,FIFO,locality
562,True,364,199,167,0.646536,FIFO,locality
563,True,365,199,167,0.647163,FIFO,locality
564,True,366,199,167,0.647788,FIFO,locality
565,True,367,199,167,0.64841,FIFO,locality
566,False,367,200,168,0.647266,FIFO,locality
567,True,368,200,168,0.647887,FIFO,locality
568,True,369,200,168,0.648506,FIFO,locality
569,False,369,201,169,0.647368,FIFO,locality
570,True,370,201,169,0.647986,FIFO,locality
571,True,371,201,169,0.648601,FIFO,locality
572,True,372,201,169,0.649215,FIFO,locality
573,False,372,202,170,0.648084,FIFO,locality
574,True,373,202,170,0.648696,FIFO,locality
575,False,373,203,171,0.647569,FIFO,locality
576,True,374,203,171,0.64818,FIFO,locality
577,True,375,203,171,0.648789,FIFO,locality
578,True,376,203,171,0.649396,FIFO,locality
579,True,377,203,171,0.65,FIFO,locality
580,False,377,204,172,0.648881,FIFO,locality
581,True,378,204,172,0.649485,FIFO,locality
582,True,379,204,172,0.650086,FIFO,locality
583,True,380,204,172,0.650685,FIFO,locality
584,True,381,204,172,0.651282,FIFO,locality
585,False,381,205,173,0.650171,FIFO,locality
586,False,381,206,174,0.649063,FIFO,locality
587,True,382,206,174,0.64966,FIFO,locality
588,True,383,206,174,0.650255,FIFO,locality
589,False,383,207,175,0.649153,FIFO,locality
590,True,384,207,175,0.649746,FIFO,locality
591,True,385,207,175,0.650338,FIFO,locality
592,True,386,207,175,0.650927,FIFO,locality
593,True,387,207,175,0.651515,FIFO,locality
594,True,388,207,175,0.652101,FIFO,locality
595,False,388,208,176,0.651007,FIFO,locality
596,False,388,209,177,0.649916,FIFO,locality
597,True,389,209,177,0.650502,FIFO,locality
598,True,390,209,177,0.651085,FIFO,locality
599,True,391,209,177,0.651667,FIFO,locality
600,True,392,209,177,0.652246,FIFO,locality
601,False,392,210,178,0.651163,FIFO,locality
602,False,392,211,179,0.650083,FIFO,locality
